Time (ps)	Pressure
4350.000000	-79.230293
4360.000000	338.908173
4370.000000	90.152367
4380.000000	-64.217041
4390.000000	-125.358643
4400.000000	266.837616
4410.000000	193.968430
4420.000000	269.410126
4430.000000	-121.684471
4440.000000	-65.235939
4450.000000	-442.979126
4460.000000	139.491074
4470.000000	-297.193695
4480.000000	-74.198425
4490.000000	-152.398026
4500.000000	14.677737
4510.000000	-255.022476
4520.000000	214.990234
4530.000000	-47.485867
4540.000000	-212.122971
4550.000000	194.154297
4560.000000	116.461182
4570.000000	163.140274
4580.000000	-17.393431
4590.000000	-66.227814
4600.000000	-215.188889
4610.000000	86.712791
4620.000000	-363.948364
4630.000000	-52.079014
4640.000000	400.738922
4650.000000	-268.247070
4660.000000	42.845535
4670.000000	203.103821
4680.000000	254.345322
4690.000000	-407.159271
4700.000000	-88.196022
4710.000000	-229.178543
4720.000000	-319.160522
4730.000000	165.201141
4740.000000	-382.113983
4750.000000	-196.594849
4760.000000	76.775230
4770.000000	27.667315
4780.000000	50.410229
4790.000000	193.113831
4800.000000	81.330696
4810.000000	372.833160
4820.000000	-445.290863
4830.000000	126.218407
4840.000000	387.534180
4850.000000	148.429138
4860.000000	95.232246
4870.000000	-134.257706
4880.000000	-389.945892
4890.000000	-171.053772
4900.000000	280.394684
4910.000000	-179.239517
4920.000000	-291.362823
4930.000000	-14.186752
4940.000000	-177.673019
4950.000000	-315.675629
4960.000000	303.001587
4970.000000	-381.982544
4980.000000	-154.113068
4990.000000	-92.570496
5000.000000	61.425518
