Time (ps)	Potential	Kinetic	Total
1460.000000	-238155.703125	37837.257812	-200318.437500
1470.000000	-236548.875000	37569.468750	-198979.406250
1480.000000	-237264.171875	37558.593750	-199705.578125
1490.000000	-236737.234375	37713.015625	-199024.218750
1500.000000	-237032.984375	37840.648438	-199192.343750
1510.000000	-238232.390625	37914.468750	-200317.921875
1520.000000	-237056.812500	37602.218750	-199454.593750
1530.000000	-237381.031250	37313.937500	-200067.093750
1540.000000	-236802.484375	37501.324219	-199301.156250
1550.000000	-236858.984375	37860.695312	-198998.281250
1560.000000	-236502.109375	37468.132812	-199033.968750
1570.000000	-236814.546875	37445.035156	-199369.515625
1580.000000	-237459.765625	37083.707031	-200376.062500
1590.000000	-237029.296875	37218.703125	-199810.593750
1600.000000	-237033.609375	37062.234375	-199971.375000
1610.000000	-237353.156250	37730.425781	-199622.734375
1620.000000	-237599.468750	37212.476562	-200387.000000
1630.000000	-237076.046875	37739.902344	-199336.140625
1640.000000	-236524.296875	37435.863281	-199088.437500
1650.000000	-236840.062500	37380.281250	-199459.781250
1660.000000	-236764.203125	37290.468750	-199473.734375
1670.000000	-236526.875000	38172.226562	-198354.656250
1680.000000	-237518.796875	37314.945312	-200203.843750
1690.000000	-237083.578125	37590.531250	-199493.046875
1700.000000	-236823.718750	37381.312500	-199442.406250
1710.000000	-236634.187500	37336.578125	-199297.609375
1720.000000	-236911.156250	37325.433594	-199585.718750
1730.000000	-237128.312500	37465.496094	-199662.812500
1740.000000	-236949.625000	37448.460938	-199501.156250
1750.000000	-237614.515625	37156.281250	-200458.234375
1760.000000	-237690.093750	37754.464844	-199935.625000
1770.000000	-236955.062500	37228.199219	-199726.859375
1780.000000	-237289.453125	37099.945312	-200189.500000
1790.000000	-237065.312500	37272.390625	-199792.921875
1800.000000	-237909.312500	37484.136719	-200425.171875
1810.000000	-237101.687500	38023.562500	-199078.125000
1820.000000	-237003.671875	37731.144531	-199272.531250
1830.000000	-237940.687500	37554.203125	-200386.484375
1840.000000	-237197.156250	37273.785156	-199923.375000
1850.000000	-236400.078125	37047.039062	-199353.031250
1860.000000	-237420.156250	37086.164062	-200334.000000
1870.000000	-237357.593750	36928.687500	-200428.906250
1880.000000	-237931.265625	37264.992188	-200666.281250
1890.000000	-236444.609375	37140.570312	-199304.031250
1900.000000	-236790.546875	37581.605469	-199208.937500
1910.000000	-237834.703125	37523.605469	-200311.093750
1920.000000	-236435.781250	37230.343750	-199205.437500
1930.000000	-237501.781250	38216.851562	-199284.937500
1940.000000	-237586.484375	37560.882812	-200025.593750
1950.000000	-237189.296875	37258.335938	-199930.968750
1960.000000	-236481.921875	37929.820312	-198552.093750
1970.000000	-237978.625000	37804.000000	-200174.625000
1980.000000	-236070.093750	37493.976562	-198576.125000
1990.000000	-235796.453125	36865.500000	-198930.953125
2000.000000	-238031.156250	37228.375000	-200802.781250
2010.000000	-237475.921875	37370.222656	-200105.703125
2020.000000	-237260.187500	37457.234375	-199802.953125
2030.000000	-236242.703125	37574.054688	-198668.656250
2040.000000	-237253.718750	37063.328125	-200190.390625
2050.000000	-236853.640625	37464.562500	-199389.078125
2060.000000	-237196.953125	37751.082031	-199445.875000
2070.000000	-237340.859375	37727.140625	-199613.718750
2080.000000	-237540.015625	37416.496094	-200123.515625
2090.000000	-237346.937500	37662.722656	-199684.218750
2100.000000	-238060.156250	37080.304688	-200979.843750
2110.000000	-237441.171875	36962.292969	-200478.875000
2120.000000	-238047.421875	37297.226562	-200750.187500
2130.000000	-237048.609375	37264.304688	-199784.312500
2140.000000	-237582.937500	37892.246094	-199690.687500
2150.000000	-237059.625000	37455.062500	-199604.562500
2160.000000	-236908.656250	37195.074219	-199713.578125
2170.000000	-237242.031250	36744.097656	-200497.937500
2180.000000	-236767.078125	37735.203125	-199031.875000
2190.000000	-237450.625000	37282.957031	-200167.671875
2200.000000	-236517.093750	37182.546875	-199334.546875
2210.000000	-236843.609375	37277.992188	-199565.625000
2220.000000	-237037.328125	37083.550781	-199953.781250
2230.000000	-237034.250000	37357.000000	-199677.250000
2240.000000	-236391.265625	37165.390625	-199225.875000
2250.000000	-237216.781250	37224.382812	-199992.406250
2260.000000	-237602.984375	37595.863281	-200007.125000
2270.000000	-237067.515625	37697.371094	-199370.140625
2280.000000	-236908.125000	37388.882812	-199519.250000
2290.000000	-237108.390625	37976.890625	-199131.500000
2300.000000	-235776.187500	37170.773438	-198605.406250
2310.000000	-236927.000000	37438.292969	-199488.703125
2320.000000	-237136.171875	37214.417969	-199921.750000
2330.000000	-236802.906250	37375.562500	-199427.343750
2340.000000	-237629.093750	37586.246094	-200042.843750
2350.000000	-236755.406250	37292.945312	-199462.468750
2360.000000	-237246.968750	37754.625000	-199492.343750
2370.000000	-236632.609375	38069.656250	-198562.953125
2380.000000	-236921.609375	37316.273438	-199605.343750
2390.000000	-236918.843750	37822.500000	-199096.343750
2400.000000	-238140.671875	37118.375000	-201022.296875
2410.000000	-236914.468750	37429.800781	-199484.671875
2420.000000	-236537.593750	37033.328125	-199504.265625
