Time (ps)	Potential	Kinetic	Total
3460.000000	-228383.031250	40694.921875	-187688.109375
3470.000000	-227235.500000	41212.632812	-186022.875000
3480.000000	-227942.156250	41128.023438	-186814.125000
3490.000000	-228160.109375	40796.785156	-187363.328125
3500.000000	-228132.812500	41045.832031	-187086.984375
3510.000000	-227860.281250	40564.234375	-187296.046875
3520.000000	-228340.343750	40730.648438	-187609.687500
3530.000000	-228084.046875	41280.312500	-186803.734375
3540.000000	-227962.984375	41324.847656	-186638.140625
3550.000000	-227739.625000	40843.359375	-186896.265625
3560.000000	-228061.140625	40615.414062	-187445.718750
3570.000000	-228739.968750	41217.449219	-187522.515625
3580.000000	-227572.718750	41175.031250	-186397.687500
3590.000000	-228961.031250	41208.968750	-187752.062500
3600.000000	-228104.375000	40822.839844	-187281.531250
3610.000000	-228999.843750	40745.519531	-188254.328125
3620.000000	-228531.968750	41468.722656	-187063.250000
3630.000000	-227781.171875	40554.316406	-187226.859375
3640.000000	-228844.515625	40734.101562	-188110.406250
3650.000000	-227794.093750	40624.335938	-187169.750000
3660.000000	-226510.468750	40838.292969	-185672.171875
3670.000000	-228669.125000	41022.773438	-187646.343750
3680.000000	-228094.968750	40908.031250	-187186.937500
3690.000000	-227705.703125	41327.109375	-186378.593750
3700.000000	-228125.312500	40759.273438	-187366.031250
3710.000000	-228356.937500	40761.371094	-187595.562500
3720.000000	-227736.328125	40710.496094	-187025.828125
3730.000000	-227463.734375	41292.324219	-186171.406250
3740.000000	-227862.453125	41145.015625	-186717.437500
3750.000000	-227754.703125	40424.347656	-187330.359375
3760.000000	-227295.609375	40553.406250	-186742.203125
3770.000000	-229017.125000	40740.609375	-188276.515625
3780.000000	-227756.593750	40571.027344	-187185.562500
3790.000000	-228590.484375	40858.789062	-187731.687500
3800.000000	-227710.062500	40378.875000	-187331.187500
3810.000000	-228734.937500	41010.101562	-187724.843750
3820.000000	-228081.953125	41248.753906	-186833.203125
3830.000000	-227703.125000	40821.378906	-186881.750000
3840.000000	-227922.578125	40667.015625	-187255.562500
3850.000000	-228551.890625	40852.437500	-187699.453125
3860.000000	-228326.453125	41088.414062	-187238.031250
3870.000000	-228452.875000	41495.500000	-186957.375000
3880.000000	-227921.171875	40324.773438	-187596.406250
3890.000000	-228225.312500	40924.285156	-187301.031250
3900.000000	-227555.937500	41030.687500	-186525.250000
3910.000000	-228888.187500	40927.007812	-187961.187500
3920.000000	-228702.421875	40430.945312	-188271.468750
3930.000000	-226873.203125	40901.371094	-185971.828125
3940.000000	-228653.468750	40725.226562	-187928.250000
3950.000000	-229342.359375	41131.984375	-188210.375000
3960.000000	-226867.046875	41241.816406	-185625.234375
3970.000000	-228592.921875	41242.296875	-187350.625000
3980.000000	-227361.953125	40068.515625	-187293.437500
3990.000000	-227653.078125	40633.171875	-187019.906250
4000.000000	-227774.078125	41286.843750	-186487.234375
4010.000000	-227217.875000	40866.289062	-186351.593750
4020.000000	-228829.062500	41172.960938	-187656.093750
4030.000000	-228078.062500	40867.734375	-187210.328125
4040.000000	-228738.796875	40772.898438	-187965.906250
4050.000000	-228641.796875	40733.734375	-187908.062500
4060.000000	-227685.531250	41320.476562	-186365.062500
4070.000000	-227569.484375	40668.328125	-186901.156250
4080.000000	-228006.765625	40907.058594	-187099.703125
4090.000000	-228626.875000	41183.863281	-187443.015625
4100.000000	-228176.953125	41099.804688	-187077.156250
