Time (ps)	Pressure
4550.000000	173.714401
4560.000000	-47.784481
4570.000000	-125.801323
4580.000000	-184.290024
4590.000000	176.698288
4600.000000	140.536942
4610.000000	332.646515
4620.000000	-123.896706
4630.000000	245.322800
4640.000000	144.223038
4650.000000	322.549408
4660.000000	403.192474
4670.000000	29.020720
4680.000000	-19.402023
4690.000000	148.306107
4700.000000	-43.964733
4710.000000	547.049255
4720.000000	-360.162262
4730.000000	-29.316292
4740.000000	-76.885925
4750.000000	-365.479095
4760.000000	278.847198
4770.000000	-240.271835
4780.000000	-127.144478
4790.000000	-370.307617
4800.000000	29.155542
4810.000000	-195.161606
4820.000000	-41.504223
4830.000000	-345.547394
4840.000000	76.131561
4850.000000	59.236591
4860.000000	149.477036
4870.000000	-198.661377
4880.000000	-317.493988
4890.000000	-211.824219
4900.000000	23.960037
4910.000000	-320.582001
4920.000000	339.275421
4930.000000	87.321198
4940.000000	10.302487
4950.000000	-372.239624
4960.000000	-169.697922
4970.000000	309.904572
4980.000000	19.272837
4990.000000	268.840973
5000.000000	22.674601
